id,substance,other_names,used_for
879496-95-4,ACAI BERRY EXTRACT,"ACAI BERRY EXTRACT; euterpe oleracea, ext.",FLAVORING AGENT OR ADJUVANT
55589-62-3,ACESULFAME POTASSIUM,"POTASSIUM ACESULFAME; ACESULFAME K; POTASSIUM 6-METHYL-1,2,3-OXATHIAZIN-4(3H)-ONE 2,2-DIOXIDE; ACESULFAME POTASSIUM; 1,2,3-OXATHIAZIN-4(3H)-ONE, 6-METHYL-, 2,2-DIOXIDE, POTASSIUM SALT; ACESULFAME-K; ACESULFAM-K",NON-NUTRITIVE SWEETENER
105-57-7,ACETAL,"ACETAL; 1,1-DIETHOXYETHANE; DIETHYL ACETAL ACETALDEHYDE; ACETALDEHYDE DIETHYL ACETAL; ETHYLIDENE DIETHYL ETHER; ETHANE, 1,1-DIETHOXY; ACETALDEHYDE, DIETHYL ACETAL",FLAVOR ENHANCER; FLAVORING AGENT OR ADJUVANT
75-07-0,ACETALDEHYDE,ACETALDEHYDE; ACETIC ALDEHYDE; ETHANAL; ACETIC ETHANOL; ETHYL ALDEHYDE,FLAVORING AGENT OR ADJUVANT
64577-91-9,"ACETALDEHYDE, BUTYL PHENETHYL ACETAL","ACETALDEHYDE BUTYL PHENETHYL ACETAL; BENZENE, (2-(1-BUTOXYETHOXY)ETHYL); (2-(1-BUTOXYETHOXY)ETHYL)BENZENE; 2-BUTOXY-2-PHENYLETHOXYETHANE",FLAVORING AGENT OR ADJUVANT
63449-64-9,ACETALDEHYDE DI-CIS-3-HEXENYL ACETAL,"ACETALDEHYDE DI-CIS-3-HEXENYL ACETAL; 3-hexene, 1,1'-(ethylidenebis(oxy))bis-, (3Z,3'Z); 1,1'-(ethylidenebis(oxy))bis(3-hexene), (3Z,3'Z); 1,1'-(ethylidenebis(oxy))bis(3-hexene), (Z,Z); InChI=1S/C14H26O2/c1-4-6-8-10-12-15-14(3)16-13-11-9-7-5-2/h6-9,14H,4-5,10-13H2,1-3H3/b8-6-,9-7; InChIKey: KCPFRJBAXWUXIG-VRHVFUOLSA-N",FLAVORING AGENT OR ADJUVANT
13002-09-0,ACETALDEHYDE DIISOAMYL ACETAL,"ACETALDEHYDE DIISOAMYL ACETAL; butane, 1,1'-(ethylidenebis(oxy))bis(3-methyl; acetaldehyde, diisopentyl acetal; 1,1-bis(isopentyloxy)ethane; 3-methyl-1-(1-(3-methylbutoxy)ethoxy)butane",FLAVORING AGENT OR ADJUVANT
5669-09-0,ACETALDEHYDE DI-ISOBUTYLACETAL,"ACETALDEHYDE DI-ISOBUTYLACETAL; propane,1,1'-(ethylidenebis(oxy))bis(2-methyl; 1,1'-(ethylidenebis(oxy))bis(2-methylpropane); acetaldehyde, diisobutyl acetal; ethane,1,1-diisobutoxy; 1,1-diisobutoxyethane; InChI=1S/C10H22O2/c1-8(2)6-11-10(5)12-7-9(3)4/h8-10H,6-7H2,1-5H3; InChIKey: KIELJSVPUISYCI-UHFFFAOYSA-N",FLAVORING AGENT OR ADJUVANT
28069-74-1,ACETALDEHYDE ETHYL CIS-3-HEXENYL ACETAL,"ACETALDEHYDE ETHYL CIS-3-HEXENYL ACETAL; ACETALDEHYDE, ETHYL 3-HEXENYL ACETAL, (Z); ETHYL CIS-3-HEXENYL ACETAL; ETHANE, 1-ETHOXY-1-(3-HEXENYLOXY)-, (Z); 3-HEXENE, 1-(1-ETHOXYETHOXY)-, (Z); 1-(1-ETHOXYETHOXY)-3-HEXENE, (Z); 1-ETHOXY-1-(3-HEXENYLOXY)ETHANE, (Z)",FLAVORING AGENT OR ADJUVANT
6986-51-2,ACETALDEHYDE ETHYL ISOBUTYL ACETAL,"ACETALDEHYDE ETHYL ISOBUTYL ACETAL; propane, 1-(1-ethoxyethoxy)-2-methyl; 1-(1-ethoxyethoxy)-2-methylpropane; acetaldehyde, ethyl isobutyl acetal; ethane, 1-ethoxy-1-isobutoxy; 1-ethoxy-1-isobutoxyethane; InChI=1S/C8H18O2/c1-5-9-8(4)10-6-7(2)3/h7-8H,5-6H2,1-4H3; InChIKey: YEKSEJHZJGHKBN-UHFFFAOYSA-N",FLAVORING AGENT OR ADJUVANT
